,0,1,2,3,4,5,6,7,8
84,0.0,17.0,23.0,43.0,60.0,74.0,14.535115277734237,12.68421669955126,16.386013855917213
85,0.0,6.0,24.0,34.0,55.0,75.0,15.266389443972288,13.051842487940352,17.480936400004225
86,0.0,6.0,28.0,45.0,64.0,77.0,15.559485806434257,13.861848502934347,17.257123109934167
87,0.0,0.0,16.0,37.0,54.0,70.0,13.774068734881201,11.960248769913251,15.58788869984915
88,0.0,3.0,17.0,34.0,59.0,73.0,12.721137966165582,10.625258063638437,14.817017868692727
89,0.0,3.0,17.0,32.0,48.0,69.0,13.736778617229225,11.461888225978576,16.011669008479874
90,0.0,9.0,25.0,38.0,57.0,69.0,13.85949258319544,12.187551268688498,15.531433897702382
91,0.0,7.0,19.0,39.0,54.0,73.0,13.843471698482169,11.958974657196087,15.72796873976825
92,0.0,14.0,23.0,36.0,58.0,76.0,16.230755139137838,14.451551147764294,18.009959130511383
93,0.0,10.0,25.0,48.0,60.0,75.0,14.39781252421276,12.61134436521983,16.184280683205692
94,0.0,5.0,16.0,37.0,56.0,73.0,15.916371131937613,14.0898613369069,17.742880926968326
95,0.0,4.0,24.0,38.0,55.0,78.0,17.558875593382428,15.766495381531128,19.351255805233727
96,3.0,23.0,35.0,49.0,59.0,70.0,13.13822257249683,11.004724560489457,15.271720584504202
97,0.0,9.0,23.0,47.0,57.0,74.0,14.3949563231895,12.681719636184026,16.108193010194977
98,0.0,0.0,21.0,35.0,52.0,71.0,14.418328046997178,12.625040859748173,16.211615234246185
99,0.0,10.0,26.0,43.0,59.0,70.0,12.646054634210342,11.183922417267915,14.10818685115277
100,0.0,12.0,25.0,41.0,59.0,73.0,15.772598297270786,14.27837092611989,17.26682566842168
101,0.0,13.0,26.0,40.0,54.0,73.0,15.553363396864421,13.036545926302491,18.07018086742635
102,0.0,11.0,27.0,42.0,53.0,71.0,14.635821346695062,12.834021249205001,16.437621444185122
103,0.0,10.0,24.0,39.0,59.0,76.0,14.506474690083024,13.294177880776552,15.718771499389497
104,0.0,0.0,10.0,36.0,54.0,78.0,17.807386895471502,16.371839658342722,19.242934132600283
105,0.0,0.0,6.0,28.0,48.0,71.0,15.116843493953885,13.176578782738396,17.057108205169374
106,0.0,10.0,28.0,43.0,57.0,74.0,14.942949551356767,13.681553747036677,16.204345355676857
107,0.0,0.0,0.0,25.0,43.0,65.0,11.879820016174818,10.191090502586464,13.568549529763173
108,0.0,10.0,27.0,43.0,59.0,77.0,16.53191275709838,14.915124490952321,18.14870102324444
109,0.0,18.0,35.0,52.0,60.0,74.0,13.784349834648244,11.987154479510266,15.581545189786222
110,0.0,11.0,25.0,46.0,58.0,75.0,14.238539155238417,12.592779504681758,15.884298805795076
111,10.0,18.0,39.0,50.0,61.0,75.0,15.639245948561301,13.455109290206682,17.82338260691592
112,0.0,7.0,22.0,39.0,63.0,82.0,17.386105051230572,15.066679150190422,19.70553095227072
113,0.0,14.0,28.0,44.0,62.0,78.0,16.812545441884236,14.785923178405904,18.839167705362566
114,0.0,0.0,5.0,18.0,39.0,60.0,7.970439242893499,6.232632841030754,9.708245644756243
115,0.0,8.0,21.0,32.0,51.0,69.0,10.856866668260155,8.982752106658369,12.730981229861941
116,0.0,4.0,21.0,32.0,48.0,79.0,15.446979172738544,13.406583855259852,17.487374490217235
117,0.0,4.0,21.0,33.0,49.0,68.0,11.594812150283591,9.450230879462248,13.739393421104934
118,0.0,0.0,17.0,35.0,59.0,71.0,13.662845777638347,12.121189839545831,15.204501715730864
119,0.0,6.0,19.0,42.0,61.0,77.0,15.307382997807775,13.151888469911093,17.462877525704457
120,0.0,4.0,17.0,35.0,56.0,72.0,13.402548858041579,11.081644464697174,15.723453251385983
121,0.0,5.0,19.0,34.0,57.0,74.0,15.7251342389438,13.727185351416818,17.723083126470783
122,0.0,7.0,30.0,41.0,53.0,69.0,14.054706258902586,12.163748801745525,15.945663716059647
123,0.0,3.0,21.0,46.0,57.0,69.0,12.104122037825407,10.366361607186871,13.841882468463943
124,0.0,0.0,11.0,36.0,56.0,71.0,12.455852985002492,10.374914892450814,14.53679107755417
125,0.0,13.0,24.0,37.0,56.0,77.0,16.674989542847264,14.948971435452638,18.40100765024189
126,0.0,0.0,14.0,32.0,45.0,63.0,10.17595255321724,8.374614745559002,11.977290360875477
127,0.0,0.0,22.0,39.0,57.0,73.0,14.646065390525496,12.5637210731176,16.728409707933395
128,0.0,3.0,22.0,42.0,56.0,71.0,12.407559953830411,10.686955304583291,14.128164603077531
129,0.0,11.0,23.0,44.0,55.0,69.0,11.55961226498774,9.458625779983564,13.660598749991916
130,0.0,10.0,31.0,46.0,59.0,75.0,14.669290085984748,12.7638001512835,16.574780020686
131,0.0,0.0,10.0,28.0,55.0,73.0,14.239712948452759,12.502768040851867,15.97665785605365
132,0.0,0.0,16.0,25.0,47.0,63.0,9.026143278113725,7.124189924677308,10.928096631550142
133,0.0,13.0,28.0,39.0,60.0,74.0,14.646711265260587,12.446278080722202,16.84714444979897
134,0.0,0.0,14.0,25.0,51.0,71.0,13.615807864731874,12.097338332710372,15.134277396753376
135,0.0,13.0,38.0,51.0,64.0,78.0,16.802355573449358,15.277927632933075,18.32678351396564
136,0.0,11.0,31.0,44.0,58.0,74.0,13.830490470730272,11.700948639107656,15.960032302352888
137,0.0,9.0,23.0,35.0,52.0,75.0,15.15416636834035,13.671597186522067,16.636735550158633
138,0.0,3.0,17.0,38.0,60.0,70.0,13.615036076062562,11.530236292543327,15.699835859581798
139,0.0,13.0,28.0,46.0,62.0,79.0,17.835758277934374,15.964462968631079,19.70705358723767
140,0.0,0.0,0.0,19.0,44.0,67.0,13.148744780133814,10.715690529981586,15.581799030286042
141,0.0,18.0,34.0,52.0,63.0,79.0,18.0211301702582,16.038884134260936,20.003376206255464
142,0.0,0.0,9.0,33.0,51.0,69.0,14.177682903361335,12.196607842628062,16.158757964094608
143,0.0,17.0,24.0,37.0,52.0,68.0,13.715208733846932,11.183145841412504,16.24727162628136
144,0.0,0.0,21.0,36.0,59.0,74.0,13.418463597806072,11.581844630567247,15.255082565044898
145,0.0,7.0,24.0,45.0,56.0,77.0,15.624290995653306,14.166432148254497,17.082149843052115
146,0.0,0.0,13.0,36.0,53.0,65.0,11.332681392851244,9.023882027171354,13.641480758531134
147,0.0,3.0,21.0,42.0,56.0,75.0,15.870322528512412,13.659231627834899,18.081413429189926
148,6.0,17.0,32.0,48.0,60.0,71.0,11.89058138821635,10.096876648709005,13.684286127723697
149,0.0,13.0,32.0,44.0,62.0,77.0,15.14149610238686,13.560902501956996,16.722089702816724
150,0.0,1.0,17.0,34.0,52.0,69.0,14.416168908110187,12.352178658990596,16.480159157229778
151,0.0,0.0,8.0,33.0,50.0,68.0,10.903614366731368,9.03982781683623,12.767400916626507
152,0.0,11.0,30.0,46.0,63.0,79.0,16.278514130407924,14.366831556987828,18.19019670382802
153,0.0,5.0,27.0,41.0,54.0,70.0,13.934209542744396,11.75543762454044,16.112981460948355
154,3.0,21.0,39.0,49.0,63.0,83.0,20.563093265818043,18.112675447621445,23.01351108401464
155,0.0,0.0,18.0,39.0,54.0,70.0,14.39217432110269,12.391345854180631,16.39300278802475
156,0.0,4.0,22.0,37.0,53.0,76.0,16.082871105159345,13.960220061001978,18.20552214931671
157,0.0,4.0,20.0,38.0,61.0,76.0,14.4297152164659,12.800102733798752,16.059327699133046
158,0.0,0.0,15.0,32.0,53.0,68.0,12.71739088630329,10.439160625868318,14.995621146738262
159,0.0,8.0,30.0,40.0,58.0,77.0,14.378735036793822,12.491209683577104,16.26626039001054
160,0.0,7.0,28.0,38.0,52.0,67.0,10.630881218875183,8.943023369487982,12.318739068262385
161,0.0,4.0,23.0,36.0,56.0,73.0,12.695366401182406,10.988946777362694,14.401786025002119
162,0.0,0.0,22.0,36.0,56.0,76.0,14.249068064861818,12.341755139395513,16.156380990328124
